IPIC Ref No.,IPIC Comment
IPIC-2156,Consignment considered to be sound.  
IPIC-2157,"Surveyors comments noted.Our analysis of the data logger confirms that reefer was working correctly and as expected.The initial pull down took around 2.5 days before the return air temperature reached below 14.5 degree C. There after the temperature was maintained between 13.9 and 14.4 degree C for the remainder of voyage.We found no indication of malfunction, nor any alarms were listed in the event log."
IPIC-2158,"Surveyors comments noted.The CA settings were not kept at the required level during voyage. Periodically the air vent opens or these readings are false, caused by defective sensor."
IPIC-2159,"Surveyors comments noted.due to the small quantity of ripe banana and otherwise, we do not expect any claim."
IPIC-2159,"Surveyors comments noted.due to the small quantity of ripe banana and otherwise, we do not expect any claim."
IPIC-2161,"Surveyors comments noted.No claim expected."
IPIC-2162,"Surveyors comments noted.Reefer unit set point was correctly adjusted at 13.6, however the reffer did not manage to keep temperature within acceptable range of set point,Supply air Temperatures fluctuated between 11.6 degree C (causing UPD), and up to around 19 degree C (causing ripening process to start).Furthermore, in the event log there are several alarms listed related to invalid supply air temperature readings, evap fan motors overheating, blown fuse, which all in combination may have rendered the reefer unit unable to maintain the correct temperature."
IPIC-2164,"From the 22nd April the event log records issues with the FC  and this remains the case throughout the transit. On the 27th April both the shippers and Maersk Line data logger shoots up in temperature and remains high for the duration of the transit with readings up to 12.9C recorded. Due to the elevated temperature the avocado respiration increased, moisture loss and softening. Recommend recovery action against the operators of the Milan Trader for not repairing or alerting parties of an issue with the reefer.    "
IPIC-2165,Surveyors comments noted.
IPIC-2165,Surveyors comments noted.
IPIC-2166,"Surveyors comments noted.We have managed to retrieve partially data logger from RCM, which shows that temperature was pulled down as expected, with the return air temperature showing 14.4 degree C. on the 28/04/15.We have no data logger readings after the 28/04/15.In the event that a formal claim is received, we would require a complete download of the data logger for further analysis into the root cause and possible recovery action."
IPIC-2167,"From our review of the RCM  data logger there are issues with supply air on a number of occasions with temperatures up to 22C recorded over various periods of time. From the 11th to the 13th there are no readings. Therefore in our opinion the issue is transit related due to a reefer malfunction.We would recommend recovery action is pursued against the vessel operators of the Maersk Nimes.   "
IPIC-2168,"With only 8 cartons affected, issue of a pre-shipment nature and not transit related. "
IPIC-2169,"Data logger records between the 26th April to the 3rd May, the temperature rose considerably peaking at 30C. As a consequence the ripening process was triggered an irreversible process. Recovery action to be pursued against the vessel operators of the Maersk Nienburg.  "
IPIC-2170,"Surveyors comments noted.Data logger show that temperature was maintained within acceptable range of set point during voyage. we found no indication of malfunction."
IPIC-2171,"Surveyors comments noted.Data loggers show that temperature was maintained with acceptable range of set point."
IPIC-2171,"Surveyors comments noted.Data loggers show that temperature was maintained with acceptable range of set point."
IPIC-2172,"Surveyors comments noted. No claim expected."
IPIC-2175,"Surveyors comments noted.Our review of the data logger show that temperatures were kept within acceptable range of set point, with exception of the last approximately 36 hrs before delivery to consignee, where the temperature slowly increases to around 6 C. due to a reefer malfunction.It is uncertain whether this brief increase in temperature would negatively impact the actual shelf life of the ham. Consignee must demonstrate that this is the case and that an actual loss has occurred."
IPIC-2178,"Surveyors comments noted.Our review of the data logger show that container malfunctioned and that the temperature was not maintained within acceptable range of set point.The malfunction was due to lack of refrigerant in the system, most likely caused by a leak."
IPIC-2179,"From our analysis of the data logger, it has become clear that MWMU6335711 malfunctioned during the voyage, most likely due to lack of refrigerant in the system, caused by a defective/leaking filter drier.Although the reefer had passed PTI on the 01/03/15 at repair shop 4KW, JHT-Ocean Blue Management in INJHT, the reefer malfunctioned within 10 - 12 hours after being powered on at the Jawaharlal Nehru terminal in India. This does suggest that repair quality and inspection procedures in shop 4KW, are not of the highest standard.During the 25/4, whilst still at the terminal, reefer displayed multiple alarms (alarm 19 - Too far from set point), which  were then cleared by someone at the terminal (assume reefer monitor team). However based on the data logger information and the repair history in MERC+, it seems that no proper action was taken and the malfunction was not repaired, eventually leading to total loss of cargo.We recommend that recovery action is pursued against Jawaharlal Nehru terminal, as they during 25/26 of April whilst container was in their care, did not take proper action, which consequently would have saved the cargo."
IPIC-2183,"Surveyors comments noted, no issues with the consignment,"
IPIC-2184,Surveyors comments noted.
IPIC-2185,"Temperature in transit not an issue. Therefore, cause of fresh growth is most likely pre-shipment related, possibly attributable to inadequate storage conditions."
IPIC-2186,"Surveyors comments noted.The structural damage has occurred during port operation and 3rd party should be investigated.Once liable 3rd party confirmed, full recovery against same should be pursued."
IPIC-2187,"Surveyors comments noted.No claim expected. The structural damage of reefer box could be caused by loaded box being lifted with wires instead of spreader."
IPIC-2188,"Agree with surveyors remarks and recovery action to be pursued against vessel operators and terminal at Ringaskiddy, for unit being off power.  "
IPIC-2189,"Surveyors comments noted.It seems that this shipment was originally loaded into MWCU6129686, as seen in IPIC report 1587, which apparently malfunctioned. Cargo was removed from container , whilst in Lehavre, and then moved to cold store for refrigeration.Ultimately cargo was loaded into MNBU3405644 and sent to its final destination, however as it seems, the cargo had already suffered damage due to high temperature.In order to investigate root causes for cargo damage and if any recovery action  possibly could be taken, we require the data logger from MWCU6129686 to be downloaded and forwarded for further analysis. Please note that it must be the original downloaded file format and NOT as text."
IPIC-2190,"Data logger is not available on RCM. At the moment we cannot confirm whether the surveyors remarks are correct on the disorder is of a pre/post harvest nature.  In our opinion the discolouration to the fruit could be due to CO2  injury. Normally avocado are shipped under CA conditions, in this case it would seem not to be the case, although the vents were closed. We are currently checking with the booking office on the shippers requested settings and will revert. If a claim is presented data logger will be required for analysis.    "
IPIC-2192,"Surveyors comments noted.Avocado should only be transported in reefer containers, where the atmosphere (CO2 & O2 Content) can be controlled, which is not the case with MWCU6986652.When avocados are transported in a non controlled CA environment it may damage them and exacerbate any pre existing condition.In case a formal claim is received and as RCM holds no data for this container, we would require the data logger to be downloaded and forwarded to us for further analysis into root cause and potential recovery action. "
IPIC-2194,"From our review of the data logger clearly from the onset there were issues with the reefer unit. Supply air is never under control and for most of the voyage temperatures are in the region of 24C.Numerous alarms, i.e. Frequency controller, phase loss, pressure discharge etc are recorded, and although it is apparent efforts were made to try and  address the issues in transit they were to no avail.  Mangoes are a climacteric fruit and as a result of the increase temperature - respiration would have increased leading to premature ripening in transit, and the onset of waste and disease in transit. Recovery action should be pursued against the depot in India for releasing the container without ensuring the unit was functioning correctly.      "
IPIC-2196,Claim withdrawn no reason given
IPIC-2197,"Surveyors comments noted.No claim expected. However if a formal claim is received, we would require the data logger to be downloaded for further analysis into possible root cause and potential recovery action."
IPIC-2198,"Despite a transit time of 67 days surveyor reports consignment arrived in good order, although we note some reference is made to softening. Would seem claim unlikely. If this is not the case we will then comment further.  "
IPIC-2199,No comment. 
IPIC-2202,"Surveyor advised consignees accepted the consignment as sound with no claim for damage / shortage.No claim anticipated."
IPIC-2207,"Surveyors comments noted.No claim expected"
IPIC-2208,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for this consignment, hence we are not able to comment on temperature or events.In the event of a formal claim, we would require the actual data logger to be downloaded and forwarded for further analysis, into root cause and potential recovery action."
IPIC-2210,"Surveyors comments noted.Our review of the data logger, retrieved from RCM, support the shippers temptale and show that after initial pull down, which took 16 hrs, the temperature was kept within acceptable range of set pointWe found no alarm or other indication of malfunctions."
IPIC-2211,Surveyors comments noted.
IPIC-2212,"Surveyors comments noted.No claim expected."
IPIC-2214,"Surveyors comments noted.From the analysis of the data logger retrieved from RCM, it is evident that reefer unit was malfunctioning and not able to maintain temperature within an acceptable range of set point.Within the first hour of initial power up on the 16/4, alarm 60 shows, which indicates a faulty defrost sensor. At the same time, the unit enters defrost mode due to probe check, Loss of cool.On the 4/5 the set point was changed from -20 to -16.6, this was done manually by the crew on board Maersk Lima, for reasons that are unknownOn the 21/5, whilst container at ESALRTM, the set point was adjusted back to -20.Container did only have a run test, and not a regular PTI, prior released for this booking.This being a chain of missed opportunities to save the cargo, we recommend that all below mentioned parties are included in the recovery process:1) The repair shop for releasing faulty equipment, that is able to supply/maintain requested temperature from onset of voyage.2) The terminal in Rio Grande do Sul, Brazil, for leaving container off power for more than 24 hrs after discharge and for not taking corrective actions to save the cargo during the 3 days stay.3) Maersk Lima, due that they did not take corrective measures to save the cargo, actually they increased the setpoint temperature via manually input on the keypad, which has without a doubt caused more harm to the cargo. Furthermore they unplugged the reefer almost 20 hrs before actual discharge, 4) The terminal in ESALR left the container off power for almost 8 hrs after discharge. Although they did adjust the set point back to -20, it does not seem that any further actions were taken to avoid cargo damage."
IPIC-2215,"Surveyors comments noted.Cargo found to be in sound condition, thus no claim expected."
IPIC-2218,"We are aware of several other files reference nos 2179, 2194, 2220, 2494, all relating to shipments of mangoes from India to UAE, with poor outturn rendering the consignments a total loss. Our observations have been hot stuffing, poor packing and subsequent issues with the reefer unit. Recommendation to refute the claims in the first instance. IPIC reference no 2218, follows a similar pattern. Unit was gated out 2nd May and back into the terminal on the 3rd. Data logger is activated on the 3rd at 04.14 with unit off for 15 hours in a 24 hour period. Taking into account the mangoes were not pre-cooled the delay in cooling is significant in trying to slow down respiration and the maturity of the fruit. On the 4th in a 24 hour period the unit is off for 17 hours. This situation repeats itself albeit variable hours off power on a daily basis.Alarm log records FC over current/limit from the onset of the voyage.  There are three aspects to consider, mangoes were not pre-cooled, significant with a climacteric fruit, lack of ventilation holes in the base of the carton, not sufficient for a fruit of this nature with a high respiration rate, shredded paper causing blockage of air flow within the carton and reefer issues. Our recommendation would be the claim is either refuted or negotiated taking into account the above with recovery taken against the third party vendor responsible for PTI, terminal and vessel operators for not repairing/alerting parties concerned of issue with the unit. "
IPIC-2219,"The transit time was 14 days whereas the surveyor has commented it should have been 5 days. This in our opinion is a critical factor. We are not aware of the sailing schedule. From analysis of the data logger we can see that some pre-cooling of the consignment had taken place prior to loading. Readings are activated on the 5th, date of gate in. The data logger records the occasional reading of -55C, this we have seen before and is a software glitch and not reflective of the supply temperature.    We do not advocate the mixing of commodities in the same container in this case, mangoes, chillies and limes as they all have different characteristics, physiology and respiration rates.   Out of 3112 cartons, some 329 cartons 11% were lost which reflects our views temperature was not an issue. Quality of the produce is not known and this could be a factor. However, we are also aware that some varities of Indian mangoes have limited shelf life and it may well be 14 days is to long. Similarly chillies have a proximate shelf life of 14 to 21 days. Limes on the other hand should have a much longer PSL as they are more robust and are part of the citrus family. From the photographs provided here the issue would seem to be more rind breakdown ollecolis and waste probably of a pre- shipment nature manifesting during the course of transit. "
IPIC-2220,"The container was gated in at the terminal on the 4th May with data logger readings commencing that day and reflecting the mangoes were approximately loaded 4 C above set point. Over the following days return sensor readings slowly drop. There are several readings of -55 C, however, these are software glitches and are not reflective of the temperature within the unit.   From our analysis we are satisfied that the correct carriage temperature was maintained during the transit. As to the cause we consider this is most likely due to the maturity of the fruit at the time of shipment together with other pre/post harvest issues manifesting during the course of transit. Situation may have been exacerbated by only two ventilation holes in the base of the cartons which is not adequate ventilation for mangoes that have a high respiration rate and combined with wrapped in shreds of paper to alleviate bruising again inhibits air flow through the box/pallet.   "
IPIC-2222,"Surveyors comments noted.Part of the consignment was exposed  to elevated temperature, caused by the structural failure of an old improper repair to the side panel of the container. "
IPIC-2225,"Surveyors comments notedRecovery should be pursued against the depot releasing equipment for export, due to poor quality PTI"
IPIC-2227,"Surveyors comments noted.Our analysis of the data logger show that all 3 container were functioning normally and that temperatures were maintained within range of set point.No alarms or other indication of malfunction was noted in any of the three logs."
IPIC-2227,"Surveyors comments noted.Our analysis of the data logger show that all 3 container were functioning normally and that temperatures were maintained within range of set point.No alarms or other indication of malfunction was noted in any of the three logs."
IPIC-2227,"Surveyors comments noted.Our analysis of the data logger show that all 3 container were functioning normally and that temperatures were maintained within range of set point.No alarms or other indication of malfunction was noted in any of the three logs."
IPIC-2228,"Surveyors comments noted.No claim expected."
IPIC-2229,"Agree with surveyors remarks on causation, as data logger shows nothing untoward during the course of transit, and damage restricted to pallets stowed against the bulkhead. "
IPIC-2233,"Surveyors comments noted.No claim expected"
IPIC-2234,"surveyors comments noted.Our review of the data logger show that temperature was kept within an acceptable range of set point.We found no evidence of any malfunction during voyage.ML has also confirmed that no previous cross stuffing has taken place.With above in mind, we believe that cargo damage can only be attributed to a poor freezing process at origin or it has been partly thawed/subject to high temperature and then refrozen, at some point before being loaded into the container."
IPIC-2235,"Surveyors comments noted.According to repair history in MERC+ this container was subject to EPTI and a visual inspection prior to this booking.Data logger show that container malfunctioned from onset of voyage, displaying the alarm: Loss of coolingContainer was gated in to the terminal on the 22/05/15, showing immediate alarm/malfunction when connected to power, but nevertheless it still took the terminal until the 28/05/15 to report malfunction to ML.We recommend that full recovery action is pursued against the terminal in ESALR, for failing to report malfunction in due time and thereby causing damage to the cargo."
IPIC-2236,"Agree with surveyors remarks. Recommend recovery action against vessel operators for not rectifying/ alerting parties of the issue with the reefer. "
IPIC-2237,"Surveyors comments noted.No claim expected."
IPIC-2238,"Surveyors comments noted.The data logger show that temperature and CA conditions were within acceptable range of set points.Based on surveyors observations and our analysis of data logger, we believe that Avocados, were of mixed maturity when loaded which manifested itself during transit."
IPIC-2239,"Surveyors comments noted.No cargo loss observed during x-stuffing, thus no claim expected. However final decision will be up to consignee upon receipt of goods. "
IPIC-2241,"Surveyors comments noted.No cargo damage or loss, thus no claim expected."
IPIC-2242,"surveyors comments noted.No claim expected."
IPIC-2244,"Surveyors comments noted.Data logger show that temperature was maintained within acceptable range of set point. No indication of malfunction was found."
IPIC-2245,"Surveyors comments noted.Data logger recording show that after initial pull down,  temperature was maintained within acceptable range of set point.There are no indication of any malfunction during voyage."
IPIC-2246,"1 of 8 containers shipped under the bill of lading not aware of any other issues. RCM log was activated on the 2nd April, and return air sensor readings are within 2 degrees of return on the 4th April at 11.45, a period of 48 hours. Chart shows nothing untoward with supply and return temperatures. Shippers Escort temperature recording chart similarly shows nothing untoward. Cause, would appear to be attributable to pre/post harvest issues manifesting during the course of transit. Claim should be refuted.  "
IPIC-2247,"Data logger not available in RCM.Based on the shippers temptale no 2325750379, activated on the 18th April there is no issue with carriage temperature throughout the transit with a steady trace at 14 C. Photographs taken at the time of survey denote crown/neck rot and it is possible/likely that such diseases manifested during the course of transit causing stress to the fruit and premature ripening by virtue of an increase in the respiration rate leading to triggering of otherwise sound fruit. Claim to be refuted.     "
IPIC-2248,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for MWCU6123883 and it only hold an incomplete data logger for MNBU3111402, hence we are not able to comment on temperature or events.In the event of a formal claim, we would require both of the actual data loggers to be downloaded and forwarded, along with copy of RKEM tracking details and a copy of the booking confirmation,  for further analysis, into root cause and potential recovery action"
IPIC-2248,"Surveyors comments noted.Unfortunately RCM does not hold the data logger for MWCU6123883 and it only hold an incomplete data logger for MNBU3111402, hence we are not able to comment on temperature or events.In the event of a formal claim, we would require both of the actual data loggers to be downloaded and forwarded, along with copy of RKEM tracking details and a copy of the booking confirmation,  for further analysis, into root cause and potential recovery action"
IPIC-2249,"Data logger was activated on the 23rd April at 08.56. Return is within 2 of set point on the 6th May, some 328 hours which is far longer than the norm that varies between 18 to 50 hours.  Thereafter, there are no other issues with supply or return readings. Event log records nothing untoward with evaporator fans fluctuating between cool max and cool reduced. On of 25 containers under the bill of lading, no other reported issues. To summarize data logger records nothing untoward, the only issue being the delay in pull down with no apparent reason for this. Cause, therefore maybe attributable to the advanced maturity of the fruit at the time of shipment, and the respiration heat generated delaying the cooling process of the fruit.    "
IPIC-2250,"From reviewing the data logger the unit failed from the time of loading by the shippers with readings of 0 C, such should have been identified by the shipperThere is then a delay from the 28th May when the malfunction was noted until the 2nd June when the forwarding agent/shipper advised Maersk of the situation and certainly this exasperated the situation.  Recovery action against third party responsible for PTI  of the unit.    "
IPIC-2251,"Surveyors comments noted.Cargo was not presented to carrier at requested carriage temperature and being brine frozen tuna, this added a high amount of humidity to the environment inside the container.The reefer suffered malfunction due to a massive ice build-up in the evap section and behind the air guide, caused by the added humidity, resulting in severely reduced air flow and cooling capacity, subsequently the requested temperatures could no longer be maintained.This is supported by the fact that during the voyage, there has according to MERC+ been several call outs to this container, where ice was removed from the evaporator coil in order to restore cooling capacity."
IPIC-2252,Reefer malfunction leading to partial thawing of contents. .  
IPIC-2255,"Reefer malfunction due to a condenser malfunction, as a result the fruit was subjected to elevated temperatures leading to the advancement of existing pre-shipment defects. "
IPIC-2259,Surveyors comments noted.
IPIC-2260,"Clearly MSWU 0025026 failed with the cause attributed to a faulty frequency controller. We are in receipt of a data logger extract but without knowing the date of shipment it is difficult to make sense of this. What we can see is from the 1st May there are issues with all sensors. Recommend recovery action against third party responsible for PTI  of unit.    "
IPIC-2260,"Clearly MSWU 0025026 failed with the cause attributed to a faulty frequency controller. We are in receipt of a data logger extract but without knowing the date of shipment it is difficult to make sense of this. What we can see is from the 1st May there are issues with all sensors. Recommend recovery action against third party responsible for PTI  of unit.    "
IPIC-2261,"Surveyors comments noted.No claim expected."
IPIC-2262,Extended transit time. Reason for delay not known. Consignees to use the consignment out of rotation so any loss should be minimal. 
IPIC-2263,"Surveyors comments noted.We do recommend that full recover is pursued against terminal in CRLIZCT and vessel due to frequent power off periods, caused by power supply issues, as documented in the data log"
IPIC-2264,"We have noted that the attending health inspector considered the cargo to be in sound condition. However with cargo temperatures as high as -6.3 degree C. we are not fully confident that consignee will not claim cargo damage, as pork fat is susceptible to high temperature.In the light of this we have requested the data logger download as well as more detailed information about container malfunction.In case a formal claim is filed, we will issue an addendum to this report with our  finding from the data logger analysis."
IPIC-2268,"Surveyors comments noted.cargo found in good condition and accepted by cnee, hence no claim expected."
IPIC-2269,"Surveyors comments noted.No claim expected."
IPIC-2270,"Maersk Line Customer Service advised registered in error - wrong survey company selected.  Please disregard, correct survey reference is IPIC 2556."
IPIC-2271,"We believe there are a number of factors to consider. Under bill of lading MMAU1132670 there were 4 containers we are not aware of any issues with the other 3, and have made the assumption all 4 containers were shipped together. If we are correct then a transit time of 62 days albeit long would not be the causa proxima, although would have exacerbated the situation.From our analysis of the data logger activated on the 2nd April return temperatures reflect some pre-cooling had already taken place as unit was gated in at the terminal on the 31st March. Return readings are within 2 degrees of set point straight away. Up until the 26th May return readings are below 16C, whilst supply is within acceptable parameters, return from this date is above 16C. This we believe is indicative of heat generated from the ripening fruit. What is apparent is oxygen is never under control and is above 10% for the complete voyage against a setting of 3%. CO2  readings are in order. In our opinion the cause of the ripened fruit is due to a CA failure, with high oxygen levels allowing the fruit to respire at a higher than expected level combined with a long transit of 62 days.    "
IPIC-2272,"Surveyors comments noted.It has not been possible to retrieve the data logger from RCM, hence we are not able to comment on temperature or events.In the event of a formal claim, we would require the actual data logger to be downloaded and forwarded for further analysis."
IPIC-2274,Maersk Line Customer Service advised incorrect survey company selected.  Therefore re-registered under IPIC 2557.  Please disregard this report.  Survey findings etc can be found under IPIC 2557.
IPIC-2277,"Surveyors comments noted.Cargo found in apparent sound condition, hence no claim expected."
IPIC-2278,"Surveyors comments noted.Data logger show that temperature was maintained within acceptable range of set point during voyage. Furthermore, we have found no evidence of malfunction or any other reefer performance related issues, that could have impacted cargo quality negatively. "
IPIC-2284,"Agree with surveyors remarks, cause of UPD , with both containers reefer/software issues during the course of transit leading to UPD. "
IPIC-2284,"Agree with surveyors remarks, cause of UPD , with both containers reefer/software issues during the course of transit leading to UPD. "
IPIC-2285,"Agree with surveyors remarks, temperature records are required to comment on causation. "
IPIC-2286,"RCM log activated on the 13th May at 00.23hrs. Return temperature readings are in line with a pre-cooled cargo. Oxygen is within 1% of settings on the 18th May and CO2, 13th May.  From the 27th May oxygen levels start to rise, peaking on the 2nd June at 12%, thereafter starting to drop.  Carriage temperature is not an issue. Bearing in mind the fruit was rock hard we do not believe an increase in oxygen was an issue, but rather as the surveyor has remarked the disorder was possibly due to low temperature prior to stuffing into the container.  "
IPIC-2287,"1 of 10 containers shipped under the bill of lading, no other reported issues. Logger not available in RCM, without data logger we are unable to comment on causation. "
IPIC-2288,"2 of 25 containers under the bill of lading. No other issues known. MSWU9048249  RCM  activated 25th April and supply air is high from the onset and it takes until the 10th May for return air to be within 2 degrees of set point. Alarm log records issues with Frequency controller. MMAU1237033, here the issue is not quite so clear, although we acknowledge there are on occasion some high return air reading temperatures. In the event a claim is submitted we will need to review the log in more detail.    "
IPIC-2288,"2 of 25 containers under the bill of lading. No other issues known. MSWU9048249  RCM  activated 25th April and supply air is high from the onset and it takes until the 10th May for return air to be within 2 degrees of set point. Alarm log records issues with Frequency controller. MMAU1237033, here the issue is not quite so clear, although we acknowledge there are on occasion some high return air reading temperatures. In the event a claim is submitted we will need to review the log in more detail.    "
IPIC-2289,"1 of 19 containers shipped under bill of lading 953569731, no other reported issues. Data logger not available in RCM. Currently unable to comment on causation of ripes. If a claim is presented please forward data logger and we will then be in a position to comment further.    "
IPIC-2290,"Data logger records nothing untoward with carriage temperature or excessive periods off power. Therefore, we are of the opinion the cause of ripes was of a pre-shipment nature due to either advanced maturity or disease manifesting during the course of transit.  "
IPIC-2291,"1 of 11 containers shipped under the bill of lading 953569732, Data logger not available under RCM so currently unable to comment on causation and await such. However, we believe the most likely cause is of a pre-shipment nature manifesting during the course of transit.    "
IPIC-2292,"One of 3 containers under the bill of lading, no reported issues to the other 2 containers. Unable to open data logger in RCM. In the event a claim is submitted we will require such to comment on whether the surveyors remarks of blocked vents caused an increase in humidity leading to the development of moulds/rots is correct.    "
IPIC-2293,"One of five containers, no other reported issues. Logger activated on the 1st May at 08.04, date gated in at the terminal.  Supply air is high at 17/18 C and takes until the 2nd May at 00.00 to be at 12.68 C. Event log records Frequency controller issues. Return air is within 2 C of set point on the 5th at 08.54hrs. On the 6th May both supply and return temperatures start to rise, and this trend continues until the 8th, when supply drops back to 12.72 C, but return stays above 15 C. On the 10th May unit is off power for 21 hours. Thereafter supply and return temperatures are in order. In our opinion the turning fruit is due to a combination of reefer malfunction and off power period.Recommend recovery action. "
IPIC-2294,"Surveyors comments noted.Our analysis of the data logger show that reefer unit operated normally and maintained the temperature within range of set point.However, it should be said that a set point +12.8 degree C. is just on the limit of where banana can start to develop chill injuries (UPD). We would normally expect that set point for banana in standard reefer is around +13.3 to +13.5 degree C. in order minimize the risk of UPD."
IPIC-2295,"No data in RCM. In the event a claim is presented, data logger required to comment on causation.  "
IPIC-2296,"Surveyors comments noted.Although the data logger retrieved from RCM only contains data of the last 3 weeks (16/5 to 3/6) of voyage, we have observed that the supply air temperature on several occasions go below 12.8 degree C and in some instances as low as 11.6 degree C. Bananas are in high risk of developing UPD, if they are subject to temperatures below 12.8 degree C.Due to the way a reefer container is designed, the air is fed along the bottom, towards the doors, where it then returns to the unit along the ceiling. This supports the surveyors comments with regards to having found bananas with chilling injury (UPD), in some of the boxes from the bottom tier.  "
IPIC-2297,"MSWU0090525, RCM  log records an activation date of the 1st May at 03.07hrs. Return sensor readings are within 2 degrees of set point on the 3rd May at 06.07, some 51 hours. Supply air falls more than 2 degrees below set point on the 3rd to 11.56 C.On the 7th unit off power for 16 hours, and on the 10th for 18 hours, thereafter unit operating correctly. Photograph of shippers Temptale records low temperatures at the onset of transit. In our opinion the UPD referred to and the ship ripes is a result of reefer issues during the course of transit.  MSWU1004579 unit activated 30th April at 22.43 hrs, return is within 2 degrees of set point on the 2nd May some 39 hours,   Data logger records nothing untoward with supply or return temperatures during the course of transit. Therefore, with the information to hand we consider the most likely cause is pre/post harvest issues manifesting during the course of transit. "
IPIC-2298,"Surveyors comments noted.We have noticed that some banana arrived in ripe and/or soft condition, but we do not believe that this can be attributed to the performance of the container during transit, despite that ventilation was set at 10cbmh instead of the requested 25. We believe that the quality problems observed,  would have been significantly more through out the load, if the ventilation settings would have been the cause.Temperatures were noted to be kept within range during entire voyage. "
IPIC-2299,"MNBU3016982 - Logger was activated on the 28th April at 10.40 hrs. Return air readings take 38 hours to be within 2 C of set point.   On the 8th May at 21.02hrs, the unit is off power and remains so until the  9th at 14.02hrs. A period of 17 hours. Alarm code records FC missing on the 1st May. MWMU6355451 - Data only available for 29th April .MNBU0004294- Set temperature 13.0 C, changed on the 30th to 13.5 C.  Logger activated 28th April at 1200hrs, after 42 hours return temperature is within 2  of set point.   On the 4th May, there are no readings for 24 hours, same on the 7th and 24th, however, there are no power off periods recorded in the event log.  MNBU3016982, we consider the most likely cause is off power for 17 hours, combined with a percentage of pre/post harvest issues leading to premature ripeness. MWMU6355451- currently unable to comment without the data logger. MNBU0004294, no data records for several 24 hour periods, however, not reflected in the event log. Cause again could be a combination of temperature/pre/post harvest issues. In the event a claim is submitted we will consider this matter further.   "
IPIC-2299,"MNBU3016982 - Logger was activated on the 28th April at 10.40 hrs. Return air readings take 38 hours to be within 2 C of set point.   On the 8th May at 21.02hrs, the unit is off power and remains so until the  9th at 14.02hrs. A period of 17 hours. Alarm code records FC missing on the 1st May. MWMU6355451 - Data only available for 29th April .MNBU0004294- Set temperature 13.0 C, changed on the 30th to 13.5 C.  Logger activated 28th April at 1200hrs, after 42 hours return temperature is within 2  of set point.   On the 4th May, there are no readings for 24 hours, same on the 7th and 24th, however, there are no power off periods recorded in the event log.  MNBU3016982, we consider the most likely cause is off power for 17 hours, combined with a percentage of pre/post harvest issues leading to premature ripeness. MWMU6355451- currently unable to comment without the data logger. MNBU0004294, no data records for several 24 hour periods, however, not reflected in the event log. Cause again could be a combination of temperature/pre/post harvest issues. In the event a claim is submitted we will consider this matter further.   "
IPIC-2299,"MNBU3016982 - Logger was activated on the 28th April at 10.40 hrs. Return air readings take 38 hours to be within 2 C of set point.   On the 8th May at 21.02hrs, the unit is off power and remains so until the  9th at 14.02hrs. A period of 17 hours. Alarm code records FC missing on the 1st May. MWMU6355451 - Data only available for 29th April .MNBU0004294- Set temperature 13.0 C, changed on the 30th to 13.5 C.  Logger activated 28th April at 1200hrs, after 42 hours return temperature is within 2  of set point.   On the 4th May, there are no readings for 24 hours, same on the 7th and 24th, however, there are no power off periods recorded in the event log.  MNBU3016982, we consider the most likely cause is off power for 17 hours, combined with a percentage of pre/post harvest issues leading to premature ripeness. MWMU6355451- currently unable to comment without the data logger. MNBU0004294, no data records for several 24 hour periods, however, not reflected in the event log. Cause again could be a combination of temperature/pre/post harvest issues. In the event a claim is submitted we will consider this matter further.   "
IPIC-2300,"Surveyors comments noted.We have reviewed the data logger for MSWU9073410 and have the made the following observations:1) based on the initial return air temperature, it seem that the orange were not sufficiently pre-cooled.2) From the onset of voyage, the reefer unit displayed several alarms, mostly related to the frequency converter.  Although according to MERC+ there has been registered live reefer repair, the issues were not solved.3) The reefer seems to have been off power for extensive periods during the at ZADUR terminal. It was off power from 14/05/2015 @ approximate 04.00 hrs and until 21/05/2015 @ approximately 08.00 hrs. The last temperature recording is on the 21/05/2015 @17.16 hrs, which suggest that the container was left off power for the remaining time until survey on the 29/05/2015.Based on current information and the above mentioned observations, we would recommend that recovery action is pursued against the terminal. "
IPIC-2301,"Container was gated in on the 20th April with the data logger readings commencing at 00.00hrs that day.  The initial return temperature was -16 C, and the unit is working hard to pull the temperature down by pumping in air cooler than set point. Despite this return air remains fairly persistent around -15/-16 C. Certainly the logger does not reflect thawing of the cargo and refreezing. Did the issue occur during customs examination in China, with warm air defrosting the cargo due to duration. On the basis of the data logger recommend repudiation of liability.  "
IPIC-2302,"Following various emails to Argentina customer services we subsequently received a survey report issued by Food Partners, covering the cross stuffing operation from MWCU6630002. The outcome of their findings was the consignment was  total loss with temperatures of -3.3 to 2.4 C, and this raises the question why was the container shipped to Japan and incurring costs.   It would seem the reefer failed shortly after loading, possible recovery action against third party for poor PTI. "
IPIC-2304,Data logger not available in RCM such is required to comment on cause.  
IPIC-2305,"Surveyors comments noted.No claim expected."
IPIC-2306,No claim as reported by the surveyor.  
IPIC-2306,No claim as reported by the surveyor.  
